Machine,Job,Product,Operation,Start,Duration,Completion
0,0,enzyme0,0,27.0,8,35.0
4,0,enzyme0,1,43.0,4,47.0
7,0,enzyme0,2,54.0,4,58.0
0,1,enzyme0,0,12.0,8,20.0
4,1,enzyme0,1,28.0,4,32.0
7,1,enzyme0,2,62.0,4,66.0
1,2,enzyme0,0,31.0,8,39.0
3,2,enzyme0,1,58.0,4,62.0
7,2,enzyme0,2,66.0,4,70.0
2,3,enzyme0,0,11.0,8,19.0
5,3,enzyme0,1,54.0,4,58.0
7,3,enzyme0,2,58.0,4,62.0
1,4,enzyme0,0,50.0,8,58.0
6,4,enzyme0,1,58.0,4,62.0
8,4,enzyme0,2,84.0,4,88.0
2,5,enzyme0,0,19.0,8,27.0
5,5,enzyme0,1,27.0,4,31.0
8,5,enzyme0,2,76.0,4,80.0
0,6,enzyme0,0,51.0,8,59.0
6,6,enzyme0,1,62.0,4,66.0
8,6,enzyme0,2,80.0,4,84.0
0,7,enzyme1,0,23.0,3,26.0
5,7,enzyme1,1,33.0,2,35.0
1,8,enzyme1,0,27.0,3,30.0
3,8,enzyme1,1,65.0,2,67.0
2,9,enzyme1,0,28.0,3,31.0
3,9,enzyme1,1,44.0,2,46.0
2,10,enzyme1,0,31.0,3,34.0
4,10,enzyme1,1,62.0,2,64.0
1,11,enzyme1,0,21.0,3,24.0
6,11,enzyme1,1,35.0,2,37.0
2,12,enzyme1,0,34.0,3,37.0
6,12,enzyme1,1,37.0,2,39.0
1,13,enzyme1,0,24.0,3,27.0
6,13,enzyme1,1,39.0,2,41.0
5,14,enzyme2,0,-0.0,3,3.0
7,14,enzyme2,1,6.0,3,9.0
4,15,enzyme2,0,-0.0,3,3.0
7,15,enzyme2,1,9.0,3,12.0
6,16,enzyme2,0,-0.0,3,3.0
7,16,enzyme2,1,3.0,3,6.0
3,17,enzyme2,0,3.0,3,6.0
8,17,enzyme2,1,93.0,3,96.0
4,18,enzyme2,0,3.0,3,6.0
8,18,enzyme2,1,90.0,3,93.0
5,19,enzyme2,0,3.0,3,6.0
7,19,enzyme2,1,50.0,3,53.0
3,20,enzyme2,0,-0.0,3,3.0
8,20,enzyme2,1,5.0,3,8.0
0,21,enzyme3,0,41.0,4,45.0
6,21,enzyme3,1,68.0,6,74.0
7,21,enzyme3,2,90.0,6,96.0
2,22,enzyme3,0,40.0,4,44.0
5,22,enzyme3,1,44.0,6,50.0
8,22,enzyme3,2,67.0,6,73.0
0,23,enzyme3,0,37.0,4,41.0
6,23,enzyme3,1,49.0,6,55.0
7,23,enzyme3,2,78.0,6,84.0
1,24,enzyme3,0,42.0,4,46.0
5,24,enzyme3,1,76.0,6,82.0
7,24,enzyme3,2,84.0,6,90.0
0,25,enzyme3,0,45.0,4,49.0
3,25,enzyme3,1,49.0,6,55.0
8,25,enzyme3,2,55.0,6,61.0
1,26,enzyme3,0,16.0,4,20.0
4,26,enzyme3,1,55.0,6,61.0
8,26,enzyme3,2,61.0,6,67.0
2,27,enzyme3,0,45.0,4,49.0
4,27,enzyme3,1,49.0,6,55.0
7,27,enzyme3,2,72.0,6,78.0
1,28,enzyme4,0,-0.0,5,5.0
6,28,enzyme4,1,6.0,4,10.0
8,28,enzyme4,2,10.0,7,17.0
2,29,enzyme4,0,5.0,5,10.0
4,29,enzyme4,1,18.0,4,22.0
8,29,enzyme4,2,29.0,7,36.0
1,30,enzyme4,0,5.0,5,10.0
5,30,enzyme4,1,21.0,4,25.0
8,30,enzyme4,2,36.0,7,43.0
0,31,enzyme4,0,5.0,5,10.0
5,31,enzyme4,1,39.0,4,43.0
8,31,enzyme4,2,43.0,7,50.0
0,32,enzyme4,0,-0.0,5,5.0
3,32,enzyme4,1,7.0,4,11.0
7,32,enzyme4,2,30.0,7,37.0
2,33,enzyme4,0,-0.0,5,5.0
6,33,enzyme4,1,10.0,4,14.0
7,33,enzyme4,2,16.0,7,23.0
1,34,enzyme4,0,10.0,5,15.0
3,34,enzyme4,1,15.0,4,19.0
7,34,enzyme4,2,23.0,7,30.0
4,35,enzyme5,0,33.0,8,41.0
7,35,enzyme5,1,46.0,3,49.0
5,36,enzyme5,0,9.0,8,17.0
8,36,enzyme5,1,21.0,3,24.0
6,37,enzyme5,0,25.0,8,33.0
7,37,enzyme5,1,40.0,3,43.0
3,38,enzyme5,0,30.0,8,38.0
8,38,enzyme5,1,51.0,3,54.0
4,39,enzyme5,0,9.0,8,17.0
8,39,enzyme5,1,18.0,3,21.0
6,40,enzyme5,0,16.0,8,24.0
8,40,enzyme5,1,24.0,3,27.0
3,41,enzyme5,0,22.0,8,30.0
7,41,enzyme5,1,43.0,3,46.0
