Machine,Job,Product,Operation,Start,Duration,Completion
0,0,enzyme0,0,30.0,8,38.0
3,0,enzyme0,1,79.0,4,83.0
8,0,enzyme0,2,83.0,4,87.0
2,1,enzyme0,0,63.0,8,71.0
6,1,enzyme0,1,71.0,4,75.0
8,1,enzyme0,2,75.0,4,79.0
2,2,enzyme0,0,72.0,8,80.0
6,2,enzyme0,1,80.0,4,84.0
7,2,enzyme0,2,84.0,4,88.0
1,3,enzyme0,0,31.0,8,39.0
5,3,enzyme0,1,66.0,4,70.0
8,3,enzyme0,2,79.0,4,83.0
0,4,enzyme0,0,56.0,8,64.0
4,4,enzyme0,1,64.0,4,68.0
7,4,enzyme0,2,80.0,4,84.0
2,5,enzyme0,0,36.0,8,44.0
5,5,enzyme0,1,47.0,4,51.0
7,5,enzyme0,2,92.0,4,96.0
2,6,enzyme0,0,44.0,8,52.0
5,6,enzyme0,1,70.0,4,74.0
7,6,enzyme0,2,88.0,4,92.0
1,7,enzyme1,0,27.0,3,30.0
3,7,enzyme1,1,94.0,2,96.0
2,8,enzyme1,0,56.0,3,59.0
3,8,enzyme1,1,88.0,2,90.0
0,9,enzyme1,0,17.0,3,20.0
5,9,enzyme1,1,34.0,2,36.0
2,10,enzyme1,0,53.0,3,56.0
6,10,enzyme1,1,56.0,2,58.0
1,11,enzyme1,0,87.0,3,90.0
3,11,enzyme1,1,90.0,2,92.0
1,12,enzyme1,0,24.0,3,27.0
6,12,enzyme1,1,50.0,2,52.0
1,13,enzyme1,0,21.0,3,24.0
3,13,enzyme1,1,92.0,2,94.0
4,14,enzyme2,0,-0.0,3,3.0
8,14,enzyme2,1,3.0,3,6.0
4,15,enzyme2,0,3.0,3,6.0
7,15,enzyme2,1,6.0,3,9.0
6,16,enzyme2,0,-0.0,3,3.0
7,16,enzyme2,1,76.0,3,79.0
3,17,enzyme2,0,3.0,3,6.0
8,17,enzyme2,1,6.0,3,9.0
6,18,enzyme2,0,3.0,3,6.0
7,18,enzyme2,1,12.0,3,15.0
3,19,enzyme2,0,-0.0,3,3.0
7,19,enzyme2,1,9.0,3,12.0
6,20,enzyme2,0,6.0,3,9.0
8,20,enzyme2,1,9.0,3,12.0
1,21,enzyme3,0,16.0,4,20.0
3,21,enzyme3,1,50.0,6,56.0
7,21,enzyme3,2,57.0,6,63.0
2,22,enzyme3,0,13.0,4,17.0
5,22,enzyme3,1,19.0,6,25.0
8,22,enzyme3,2,66.0,6,72.0
2,23,enzyme3,0,21.0,4,25.0
5,23,enzyme3,1,25.0,6,31.0
7,23,enzyme3,2,33.0,6,39.0
2,24,enzyme3,0,17.0,4,21.0
4,24,enzyme3,1,51.0,6,57.0
8,24,enzyme3,2,60.0,6,66.0
0,25,enzyme3,0,40.0,4,44.0
3,25,enzyme3,1,44.0,6,50.0
7,25,enzyme3,2,51.0,6,57.0
1,26,enzyme3,0,-0.0,4,4.0
4,26,enzyme3,1,33.0,6,39.0
7,26,enzyme3,2,39.0,6,45.0
0,27,enzyme3,0,-0.0,4,4.0
5,27,enzyme3,1,39.0,6,45.0
7,27,enzyme3,2,45.0,6,51.0
0,28,enzyme4,0,23.0,5,28.0
3,28,enzyme4,1,28.0,4,32.0
8,28,enzyme4,2,89.0,7,96.0
0,29,enzyme4,0,8.0,5,13.0
5,29,enzyme4,1,13.0,4,17.0
8,29,enzyme4,2,28.0,7,35.0
2,30,enzyme4,0,30.0,5,35.0
6,30,enzyme4,1,35.0,4,39.0
8,30,enzyme4,2,42.0,7,49.0
2,31,enzyme4,0,-0.0,5,5.0
3,31,enzyme4,1,24.0,4,28.0
8,31,enzyme4,2,35.0,7,42.0
1,32,enzyme4,0,5.0,5,10.0
4,32,enzyme4,1,10.0,4,14.0
8,32,enzyme4,2,14.0,7,21.0
2,33,enzyme4,0,5.0,5,10.0
6,33,enzyme4,1,12.0,4,16.0
7,33,enzyme4,2,19.0,7,26.0
1,34,enzyme4,0,10.0,5,15.0
6,34,enzyme4,1,16.0,4,20.0
8,34,enzyme4,2,21.0,7,28.0
6,35,enzyme5,0,40.0,8,48.0
8,35,enzyme5,1,56.0,3,59.0
5,36,enzyme5,0,54.0,8,62.0
7,36,enzyme5,1,66.0,3,69.0
4,37,enzyme5,0,15.0,8,23.0
8,37,enzyme5,1,53.0,3,56.0
3,38,enzyme5,0,35.0,8,43.0
7,38,enzyme5,1,69.0,3,72.0
5,39,enzyme5,0,-0.0,8,8.0
7,39,enzyme5,1,29.0,3,32.0
3,40,enzyme5,0,12.0,8,20.0
7,40,enzyme5,1,72.0,3,75.0
4,41,enzyme5,0,23.0,8,31.0
8,41,enzyme5,1,50.0,3,53.0
